CODIGO,EMPRESA,TICKER,CNPJ,DATA ACIONISTAS,FISICOS,JURIDICOS,INSTITUCIONAIS,URL B3
22853,FRIGOL FOODS,?,14.962.356/0001-10,28/03/2013,5,0,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=22853
17388,FUTURETEL,?,02.465.783/0001-04,16/08/2012,2,4,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=17388
16101,GAFISA,GFSA3,01.545.826/0001-07,30/04/2020,30600,174,100,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=16101
22764,GAIA AGRO,?,14.876.090/0001-93,13/07/2016,1,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=22764
20222,GAIA SECURIT,?,07.587.384/0001-30,30/04/2015,1,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20222
17965,GAMA PART,OPGM3B,02.796.775/0001-40,27/04/2015,0,2,1,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=17965
21008,GENERALSHOPP,GSHP3,08.764.621/0001-53,30/04/2020,2867,8,25,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=21008
18368,GER PARANAP,GEPA3,02.998.301/0001-81,03/07/2020,11227,234,21,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=18368
3980,GERDAU,GGBR3,33.611.500/0001-19,10/12/2019,106294,3049,656,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=3980
8656,GERDAU MET,GOAU3,92.690.783/0001-09,31/07/2020,97830,596,494,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=8656
19569,GOL,GOLL4,06.164.253/0001-87,16/04/2020,116742,365,468,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=19569
16632,GPC PART,GPCP3,02.193.750/0001-52,10/09/2020,2316,491,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=16632
4537,GRAZZIOTIN,CGRA3,92.012.467/0001-70,21/07/2020,6719,130,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=4537
19615,GRENDENE,GRND3,89.850.341/0001-60,06/07/2020,108217,410,124,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=19615
23515,GRUAIRPORT,?,15.578.569/0001-06,07/12/2017,0,2,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=23515
15695,GRUCAI,GRUC3,01.258.945/0001-70,20/06/2016,1,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=15695
25186,GRUPO MATEUS,GMAT3,24.990.777/0001-09,12/11/2020,4,0,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=25186
24783,GRUPO NATURA,NTCO3,32.785.497/0001-97,27/08/2020,43620,318,1468,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=24783
25011,GRUPO SOMA,SOMA3,10.285.590/0001-08,20/10/2020,6004,22,226,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=25011
4669,GUARARAPES,GUAR3,08.402.943/0001-52,29/04/2020,19780,504,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=4669
3298,HABITASUL,HBTS3,87.762.563/0001-03,30/04/2017,3,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=3298
13366,HAGA S/A,HAGA3,30.540.991/0001-66,15/06/2020,3096,23,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=13366
24392,HAPVIDA,HAPV3,05.197.443/0001-38,19/11/2020,19562,269,1669,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=24392
25402,HBR REALTY,HBRE3,14.785.152/0001-51,26/08/2020,1,2,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=25402
20877,HELBOR,HBOR3,49.263.189/0001-02,30/06/2020,56723,396,38,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20877
6629,HERCULES,HETA3,92.749.225/0001-63,01/06/2020,660,40,1,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=6629
22675,HIDROVIAS,HBSA3,12.648.327/0001-53,31/08/2020,0,0,11,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=22675
6700,HOTEIS OTHON,HOOT3,33.200.049/0001-47,30/04/2020,776,60,16,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=6700
21431,HYPERA,HYPE3,02.932.074/0001-91,15/05/2020,47067,790,763,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=21431
6815,IGB S/A,IGBR3,43.185.362/0001-07,31/07/2020,1834,19,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=6815
23175,IGUA SA,IGSN3,08.159.965/0001-33,18/09/2019,0,1,3,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=23175
20494,IGUATEMI,IGTA3,51.218.147/0001-93,25/06/2020,39517,1044,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20494
24090,IHPARDINI,PARD3,19.378.769/0001-76,28/04/2020,5595,49,250,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=24090
23574,IMC S/A,MEAL3,17.314.329/0001-20,06/08/2020,49856,196,241,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=23574
19518,IMIGRANTES,?,05.918.309/0001-89,13/11/2014,0,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=19518
3395,IND CATAGUAS,CATA3,19.526.748/0001-50,29/04/2018,169,5,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=3395
7510,INDS ROMI,ROMI3,56.720.428/0001-63,27/11/2020,27042,97,184,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=7510
20885,INDUSVAL,?,61.024.352/0001-71,14/01/2021,0,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20885
7595,INEPAR,INEP3,76.627.504/0001-06,,0,0,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=7595
21750,INFRASEC,?,10.488.244/0001-19,11/01/2013,3,2,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=21750
25453,INTELBRAS,INTB3,82.901.000/0001-27,08/01/2021,12,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=25453
24279,INTER SA,INNT3,09.611.768/0001-76,09/06/2020,5,0,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=24279
