CNPJ,EMPRESA,CODIGO
04.523.403/0001-76,AGRO IND JURUPARI ACRE SA,504548
04.167.904/0001-67,AGRO INDL ITAPIRANGA SA,517216
07.561.855/0001-30,AGRO INDL JAGUARUANA SA,509949
13.642.699/0001-35,AGRO INDÚSTRIAS DO VALE SÃO FRANCISCO S/A,516147
34.738.393/0001-57,AGRO MECANIZ AGRI RONDONIA SA,509264
09.273.145/0001-30,AGRO MERCANTIL URTIGAS SA AMUSA,520357
09.242.066/0001-62,AGRO PASTORIL ANGICOS S. A....,515663
09.378.563/0001-92,AGRO PASTORIL CARIRI SA CARIRISA,205
05.149.737/0001-94,AGRO UNA AGRICOLA CURUA UNA S/A,509825
05.750.765/0001-62,AGROALEGRE AGROINDUSTRIAL E PASTORIL MONTE ALEGRE SA,504980
07.066.491/0001-12,AGROBALSAS EMPREEND INDS E AGROPEC SA,519979
04.657.227/0001-65,AGROBRAGANTINA SA,518379
24.380.727/0001-00,AGROBRAS AGRIC TROP DO BR SA,516244
04.255.592/0001-43,AGROBUFALO SA,511773
04.255.592/0001-43,AGROBUFALO SA,520241
03.101.169/0001-26,AGROCISA-AGROPEC COM E IND SA,512613
03.101.169/0001-26,AGROCISA-AGROPEC COM E IND SA,520624
32.477.002/0001-62,AGROCUNHA SA,507806
23.461.411/0001-80,AGROIND BAQUIT SA,512664
23.461.411/0001-80,AGROIND BAQUIT SA,520420
04.792.719/0001-63,AGROINDL BAMA SA,511366
63.791.461/0001-40,AGROINDL BARÃO DO MELGAÇO SA,516317
08.987.190/0001-94,AGROINDL BARRO BRANCO SA,505749
10.775.997/0001-05,AGROINDL CAIANA SA,501085
15.950.058/0001-73,AGROINDL ESTRELA SA,510530
08.983.322/0001-00,AGROINDL IRMAOS ALMEIDA SA,503614
05.594.288/0001-93,AGROINDL LUIZ GUIMARAES SA,511820
04.183.513/0001-36,AGROINDL MANACAPURU SA,513261
24.272.999/0001-96,AGROINDL R. FUNDO SA-AGRISA,509892
05.220.132/0001-42,AGROINDL SA AGROISA,510564
03.164.753/0001-20,AGROINDL SAO PAULO SA,505226
24.422.719/0001-89,AGROINDL SERRA DAS VARAS SA,513997
12.627.758/0001-33,AGROINDL STA LUZIA SA,511927
04.071.676/0001-27,AGROINDL SUINORTE SA,511153
12.765.541/0001-90,AGROINDL TRAVESSIA SA,507903
00.922.144/0001-03,AGROINDUSTRIAL DE CEREAIS DONA CAROLINA S/A,518085
00.082.253/0001-51,AGROINDUSTRIAL DE CEREAIS VERDES CAMPOS S.A.,519715
02.855.176/0001-50,AGROINDUSTRIAL E PASTORIL NATIVA S.A.,519847
15.282.791/0001-67,AGROINDUSTRIAL PALMASA S/A,511277
15.282.791/0001-67,AGROINDUSTRIAL PALMASA S/A,519472
02.680.715/0001-68,AGROINDUSTRIAL SAPUCAIA S/A,518859
06.846.992/0001-59,AGROINDUSTRIAL SERRA VERMELHA S/A,504190
06.846.992/0001-59,AGROINDUSTRIAL SERRA VERMELHA S/A,520306
22.949.390/0001-83,AGROINDUSTRIAL UNIDOS S/A,512770
04.986.188/0001-40,AGROINDUSTRIAL VERA CRUZ S/A,511404
06.403.174/0001-81,AGROISA-AGROINDL CAMPO NOVO SA,501581
12.313.151/0001-89,AGROJAISA AGROPEC JATAHY INDL,514500
22.957.963/0001-10,AGROLANDIA ACAILANDIA IND SA,501395
07.481.559/0001-20,AGROLUPE-AGROPEC GUADALUPE SA,501786
05.753.116/0001-15,AGROLUSA-AGROINDL LUSITANA SA,500496
06.272.470/0001-90,AGROMA EMPREEND RURAIS SA,506036
06.777.965/0001-71,AGROMALTA AGROP MARANHENSE SA,503681
01.355.296/0001-26,AGROMON SA AGRICULTURA E PEC,509329
06.040.547/0001-05,AGROMOSA AGROP M F OLIVEIRA SA,503800
07.025.125/0001-15,AGROMUNDO AGROPEC RAIM VIA SA,505846
00.319.137/0001-03,AGRON AGROINDL SA,507164
04.794.962/0001-10,AGRONESA-AGROPEC NOVA ESPERANÇA,507105
21.444.765/0001-90,AGRONORTE SA,221
06.454.276/0001-26,AGRONOSA AGROPEC NORTE SA,519111
04.102.265/0001-51,AGROPALMA SA,501166
34.130.039/0001-45,AGROPARANÁ S/A,515078
13.632.344/0001-65,AGROPASA AGR MED PARAGUASSU SA,512257
06.011.779/0001-27,AGROPASTORIL CANTANHEDE SA,510173
07.680.093/0001-91,AGROPASTORIL DOIS ACUDES S/A,505102
02.007.196/0001-71,AGROPASTORIL ESTRELA DO ORIENTE SA,518697
07.093.305/0001-34,AGROPASTORIL GADO BRANCO SA,514462
08.818.981/0001-90,AGROPASTORIL GALDINO SA,501751
23.434.400/0001-00,AGROPASTORIL IPUIRU SA,506664
04.365.615/0001-72,AGROPASTORIL JAFFARABAD SA,512966
08.317.364/0001-01,AGROPASTORIL JOSE IVO SA,505323
08.993.933/0001-39,AGROPASTORIL LAGOA DE CIMA S/A - LACIMA,501271
05.512.116/0001-23,AGROPASTORIL LIVRAMENTO SA,506184
04.856.522/0001-40,AGROPASTORIL MURRAH S/A - AGROMURRAH,507261
04.705.570/0001-38,AGROPASTORIL RIO CUNANY SA,509400
43.126.184/0001-43,AGROPASTORIL RODA VELHA SA,504017
25.129.453/0001-43,AGROPASTORIL SANGUINETTE SA AGROSAN,519561
11.539.392/0001-88,AGROPASTORIL SERRA DA EMA SA,507873
11.539.392/0001-88,AGROPASTORIL SERRA DA EMA SA,519162
09.597.170/0001-70,AGROPEC AGUA BRANCA SA,504084
05.363.767/0001-07,AGROPEC ALTEROSA SA,512567
05.363.767/0001-07,AGROPEC ALTEROSA SA,520870
04.599.353/0001-00,AGROPEC AMAMBAI SA,504602
09.569.724/0001-25,AGROPEC ANGELUS SA,503371
04.697.033/0001-93,AGROPEC AQUARIUS SA,519030
04.407.979/0001-78,AGROPEC ARUANA SA,505188
04.851.523/0001-00,AGROPEC BAIXO AMAZONAS SA,517763
05.426.804/0001-70,AGROPEC BARRA DAS PRINCESAS SA,509647
04.987.376/0001-92,AGROPEC BEBEDOURO SA,506966
21.363.270/0001-37,AGROPEC BELA VISTA SA,502286
04.022.489/0001-53,AGROPEC BELO HORIZONTE SA,508799
11.527.439/0001-93,AGROPEC BELO VALE SA,506524
21.706.502/0001-02,AGROPEC BETANIA SA,503967
12.791.281/0001-27,AGROPEC BOA ESPERANCA SA,511781
04.880.829/0001-87,AGROPEC BOA SORTE SA,507890
13.951.272/0001-19,AGROPEC BOA VISTA SA,506648
31.690.746/0001-06,AGROPEC BOA VISTA SA,506745
13.951.272/0001-19,AGROPEC BOA VISTA SA,520497
31.499.015/0001-70,AGROPEC BONOMO SA,508608
31.499.015/0001-70,AGROPEC BONOMO SA,520489
08.021.867/0001-35,AGROPEC BRITO IRMAOS SA,502952
04.818.803/0001-09,AGROPEC CAJABI SA,514381
12.799.904/0001-08,AGROPEC CAMBOA SA,511374
11.523.610/0001-96,AGROPEC CAMPO ALEGRE SA,510327
08.668.238/0001-00,AGROPEC CAMPOS SA,506591
09.192.642/0001-04,AGROPEC CANAFISTULA SA,509272
11.848.025/0001-66,AGROPEC CAROCA SA,506222
04.132.437/0001-30,AGROPEC CAROPA SA,510661
04.132.437/0001-30,AGROPEC CAROPA SA,519430
07.127.053/0001-17,AGROPEC CASCAVEL SA - AGROCASA,509868
08.896.839/0001-61,AGROPEC CAXIRIMBU SA,500372
10.767.341/0001-40,AGROPEC CEARENSE SA - ACESA,515116
17.438.920/0001-99,AGROPEC CEDROMINAS SA,513210
14.714.653/0001-47,AGROPEC CORACI PARANA SA,513717
04.418.398/0001-31,AGROPEC CORUMBIARA SA,513180
12.907.572/0001-38,AGROPEC CUPISSURA SA,516821
13.027.644/0001-15,AGROPEC DA BARRA SA,505811
14.056.386/0001-68,AGROPEC DA STA CRUZ SA,508284
14.056.386/0001-68,AGROPEC DA STA CRUZ SA,519669
04.376.224/0001-53,AGROPEC DEMETRIO SA,507091
04.376.224/0001-53,AGROPEC DEMETRIO SA,520705
06.645.196/0001-58,AGROPEC DIAMANTE SA - AGRODISA,503088
04.713.087/0001-03,AGROPEC DO BOSQUE SA,512699
03.208.360/0001-71,AGROPEC DO CACHIMBO SA,512850
14.123.228/0001-83,AGROPEC DO GUAMA SA,507016
09.574.971/0001-10,AGROPEC DO RETIRO SA,502715
07.363.351/0001-06,AGROPEC DUPLO T SA,520152
06.976.187/0001-40,AGROPEC E INDL MACHADO SA-AGRIMA,520667
06.997.449/0001-52,AGROPEC E INDL SANTANA SA,515817
31.741.259/0001-17,AGROPEC ESTRELA DO NORTE SA,511854
24.067.092/0001-95,AGROPEC ESTRELA SA,511293
11.642.808/0001-99,AGROPEC FAZ CATALUNHA SA,501603
10.246.999/0001-07,AGROPEC FAZ PARANA SA,502774
09.260.597/0001-88,AGROPEC FAZ PAU LEITE SA,503916
08.846.271/0001-74,AGROPEC FERNANDES SA,513512
09.493.404/0001-39,AGROPEC FERREIRA SA,503061
14.035.257/0001-93,AGROPEC FLECHAL SA,513296
14.035.257/0001-93,AGROPEC FLECHAL SA,520055
04.602.181/0001-87,AGROPEC FORQUILHA SA,509809
84.192.079/0001-90,AGROPEC FRANGO ACU SA,516481
11.439.577/0001-10,AGROPEC GERSON MARANHAO SA,511730
06.016.364/0001-46,AGROPEC GIFONI SALES SA,517097
15.053.267/0001-14,AGROPEC GRENDENE SA,500941
04.871.760/0001-25,AGROPEC HAKONE SA,511935
04.696.894/0001-57,AGROPEC ILHA DE NAZARE SA,517313
04.597.316/0001-63,AGROPEC INDEPENDENCIA SA,514268
55.742.977/0001-76,AGROPEC ITAMBE SA,510670
28.477.313/0001-54,AGROPEC ITAPEMIRIM SA,509701
35.098.573/0001-84,AGROPEC ITAPIRACO SA,510696
06.881.361/0001-70,AGROPEC JATOBA SA,510297
05.428.222/0001-23,AGROPEC JATOBA SA,517429
07.223.092/0001-18,AGROPEC JENIPAPO SA,516910
19.388.727/0001-16,AGROPEC LAGOA VERDE SA,517801
22.677.009/0001-74,AGROPEC LOPES SA,508098
11.739.349/0001-66,AGROPEC MALACACHETA SA,505625
