CNPJ,EMPRESA,CODIGO
11.672.086/0001-15,CIA AGROPEC VALE DO BOQUEIRAO,504262
08.635.716/0001-77,CIA AGROPEC VALE DO MUQUEM,504599
08.444.655/0001-60,CIA ALAGOAS INDUSTRIAL-CINAL,508780
11.699.378/0001-41,CIA ALCOOLQUIM NACIONAL,501018
07.292.675/0001-09,CIA ALGIMAR INDUSTRIA QUIMICA ALGINATOS,2704
04.311.536/0001-89,CIA AMAZONENSE AGROINDL,514411
04.306.197/0001-42,CIA AMAZONENSE DE PROD ELETR,503380
04.564.696/0001-30,CIA AMAZONENSE SAPONIFICACAO,2712
33.615.956/0001-57,CIA AMERICA FABRIL,2747
33.074.691/0001-27,CIA AMERICA SUL CFI,2739
22.672.596/0001-09,CIA ATIV RURAIS DO NE - CARNE,508632
33.490.095/0001-28,CIA AUXILIAR EMP MIN CAEMI,2780
06.769.897/0001-07,CIA AVIC DA AM SA - CEAA,504211
08.179.954/0001-15,CIA AVIC STA INES - COASI,501190
41.102.492/0001-03,CIA AVICOLA DO NE CIANE,515965
40.999.856/0001-37,CIA AVICOLA MASSANGANA CIAMA,516970
09.940.024/0001-03,CIA BAHIANA DE CARNES - COBAC.,515272
58.128.174/0001-14,CIA BANDEIRANTES ARMS GERAIS,2810
17.167.362/0001-74,CIA BANDEIRANTES CFI,2801
42.584.128/0001-90,CIA BANGU DESENVOLVIMENTO PARTICIPAÇÕES,2828
06.784.524/0001-05,CIA BOA VISTA DE ALIMENTOS DO NE,519731
42.113.662/0001-18,CIA BOZANO SIMONSEN COM IND,2836
04.787.677/0001-72,CIA BRAS AGROPASTORIL,502260
07.817.893/0001-01,CIA BRAS COMPON DE CALCADOS,505790
02.455.483/0001-44,CIA BRAS DE AGROPEC - COBRAPE,512389
05.099.585/0001-62,CIA BRAS DE ASFALTO AMAZONIA,503541
05.099.585/0001-62,CIA BRAS DE ASFALTO AMAZONIA,520527
10.483.444/0001-89,CIA BRAS DE LATICINIOS,507512
13.029.194/0001-08,CIA BRAS DE POLIURETANO,500046
11.413.150/0001-43,CIA BRAS DE TORRES,500259
33.316.100/0001-80,CIA BRAS MATERIAIS COBRACO,2852
61.079.315/0001-60,CIA BRAS PLASTICOS MONSANTO,2879
61.156.410/0001-10,CIA BRAS PROJETOS OBRAS CBPO,2887
07.203.144/0001-94,CIA BRASILEIRA DE ESTRUTURAS METALICAS,2844
06.298.962/0001-55,CIA CACHUCHA PASTORIL,509299
78.588.415/0001-15,CIA CACIQUE CAFE SOLUVEL,2909
82.508.433/0001-17,CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN,16861
07.275.779/0001-05,CIA CEARA TEXTIL,500291
07.360.506/0001-50,CIA CEARENSE AGROINDL DO CAJU,501980
07.205.719/0001-08,CIA CEARENSE DE CIMEN PORTLAND,516848
33.366.980/0001-08,CIA CERVEJARIA BRAHMA,2917
03.468.832/0001-25,CIA CERVEJARIA CUIABANA,2925
09.934.407/0001-60,CIA CIMENTO ATOL,2976
60.869.302/0001-22,CIA CIMENTO IPANEMA,2992
89.724.017/0001-03,CIA CIMENTO PORTL GAUCHO,3000
33.160.318/0001-99,CIA CIMENTO PORTL PARAISO,3018
15.218.084/0001-01,CIA CIMENTO SALVADOR,3026
61.422.663/0001-99,CIA COMERCIAL BORBA CAMPO,2941
82.636.887/0001-73,CIA COML SCHRADER,2950
33.034.901/0001-53,CIA CONSTRUTORA PEDERNEIRAS,12491
04.872.883/0001-80,CIA CRIADORA DE PEIXES IRACEMA,514632
04.872.883/0001-80,CIA CRIADORA DE PEIXES IRACEMA,520616
09.123.654/0001-87,CIA DE AGUA E ESGOTO DA PARAIBA,19968
12.542.007/0001-14,CIA DE ALIM DO MARANHÃO - COMASA,510904
04.374.427/0001-00,CIA DE CITRUS DO PARA,505129
11.494.564/0001-44,CIA DE COCOS DO NE - CCN,500593
04.731.519/0001-09,CIA DE DES DO NORTE,507954
04.731.519/0001-09,CIA DE DES DO NORTE,519405
04.050.829/0001-50,CIA DE DES NOVA OLINDA,510475
15.139.629/0001-94,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,14524
09.795.659/0001-56,CIA DE LUBRIF DO NE - LUBRINOR,514900
05.635.644/0001-70,CIA DE MECANIZACAO DA AM - CMA,515590
06.258.024/0001-21,CIA DE NAVEGACAO DO NORTE CONAN,518115
09.053.620/0001-63,CIA DE OLEOS VEG DO BRASIL,503932
01.938.783/0001-11,CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA,18708
04.652.792/0001-30,CIA DE RECUPERAÇÃO SECUNDÁRIA,19240
12.536.082/0001-72,CIA DE SACOS DO MARANHAO,510637
03.631.397/0001-08,CIA DES ARAGUAIA CODEARA,12025
05.770.003/0001-28,CIA DESENVOLVIMENTO AGRO PECUARIA INDUSTRIAL MIN EST PA,3034
24.551.772/0001-80,CIA DO RIO PRETO AQUI COM E EX,515434
84.208.123/0001-02,CIA DOCAS DE IMBITUBA,3174
07.047.251/0001-70,CIA ENERG CEARA - COELCE,14869
17.155.730/0001-64,CIA ENERG MINAS GERAIS - CEMIG,2453
10.835.932/0001-08,CIA ENERGÉTICA DE PERNAMBUCO - CELPE,14362
08.324.196/0001-81,CIA ENERGÉTICA DO RIO GRANDE DO NORTE,18139
02.201.268/0001-17,CIA ENERGETICA MERIDIONAL,16900
04.821.435/0001-58,CIA EQUATORIAL DE MINERACAO,507180
33.352.394/0001-04,CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,16373
08.467.115/0001-00,CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA,20648
92.715.812/0001-31,CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA,3204
10.783.777/0001-23,CIA FABRICA YOLANDA,3220
16.718.231/0001-75,CIA FABRIL MASCARENHAS,3239
18.977.124/0001-97,CIA FERRO BRASILEIRO,3247
33.495.615/0001-95,CIA FERRO E ACO DE VITORIA,506567
15.141.799/0001-03,CIA FERRO LIGAS BAHIA FERBASA,3069
16.933.590/0001-45,CIA FERROLIGAS MG - MINASLIGA,506516
23.116.551/0001-10,CIA FIAÇÃO TECELAGEM PARA MINAS,3255
21.796.032/0001-15,CIA FIACAO TECIDOS CEDRONORTE,500860
08.479.123/0001-69,CIA FRIGORIFICO POTENGY,505650
92.659.325/0001-07,CIA GERAL DE INDUSTRIAS,3280
12.506.192/0001-91,CIA GRAFICA DO NE,507318
82.639.139/0001-44,CIA HERING,3301
78.876.950/0001-71,CIA HERING,14761
33.541.368/0001-16,CIA HIDRO ELÉTRICA DO SÃO FRANCISCO,3328
13.369.475/0001-00,CIA HOTEIS TURISTICOS - COMTUR,506702
33.433.822/0001-15,CIA INDL AGRIC SANTA CECILIA,3433
08.666.091/0001-00,CIA INDL ALIMENTOS DO NORDESTE CIAN,518476
04.384.319/0001-19,CIA INDL AMAZONENSE,3379
13.004.304/0001-79,CIA INDL DE CELULOSE E PAPEL,512133
04.061.693/0001-83,CIA INDL DE LATIC DO ACRE,502600
07.584.279/0001-47,CIA INDL DE LATICINIOS DO CARIRI - CILCA,510769
07.584.279/0001-47,CIA INDL DE LATICINIOS DO CARIRI - CILCA,520411
04.387.734/0001-26,CIA INDL DE MADEIRAS CIM,512192
07.199.490/0001-46,CIA INDL DE OLEOS DO NE,505331
12.924.130/0001-08,CIA INDL DE REVESTIM CERAMICOS,510246
05.379.664/0001-27,CIA INDL DE VIDROS DO CEARA,503150
16.805.251/0001-83,CIA INDL ITAUNENSE DO NE,503312
14.031.868/0001-63,CIA INDL LATICINIOS PARA-CILPA,512591
61.074.506/0001-30,CIA INDL MERC ARTEF FERRO,3468
56.969.355/0001-48,CIA INDL MERC PAOLETTI,3441
07.285.448/0001-48,CIA INDL MICHELETTO,3476
10.775.112/0001-78,CIA INDL MOVEIS PATENTE FAIXA AZUL,518794
92.779.438/0001-38,CIA INDL RIO GUAHYBA,3514
33.174.145/0001-68,CIA INDL SAO PAULO RIO CISPER,3530
07.785.306/0001-40,CIA INDUSTRIAL AGROPECUARIA CONAPE,3360
17.161.316/0001-68,CIA INDUSTRIAL BELO HORIZONTE,3387
07.998.164/0001-07,CIA INDUSTRIAL BRASILEIRA ALIMENTOS,13811
07.998.164/0001-07,CIA INDUSTRIAL BRASILEIRA ALIMENTOS,502880
33.041.120/0001-96,CIA INDUSTRIAL DOX,3344
07.197.411/0001-68,CIA INDUSTRIAL PELES COUROS,3425
19.711.282/0001-63,CIA INDUSTRIAL SANTA MATILDE,3522
82.981.929/0001-03,CIA INDUSTRIAL SCHLOSSER S.A.,3549
06.721.286/0001-80,CIA INTEGR DE MIN CALCINAC PI,507210
01.222.069/0001-22,CIA INTER-ATLANTICO PARTICIPS,15792
42.584.060/0001-49,CIA INTERNACIONAL FIDUCIARIA,3557
04.904.199/0001-33,CIA INVEST DO PARA,3093
00.189.469/0001-10,CIA INVESTS LATINOAMERICANA,14745
92.753.367/0001-02,CIA IOCHPE,3573
69.923.613/0001-05,CIA JOFRA AGRICOLA,517062
60.434.487/0001-42,CIA LECO DE PRODS ALIMENTICIOS,3603
78.597.697/0001-17,CIA LONDRIMALHAS HERINGER INDUSTRIA E COMERCIO,12947
04.971.941/0001-23,CIA MADEIREIRA SAO MIGUEL,3620
09.016.361/0001-09,CIA MARANHENSE DE PROD AGROPEC,501948
09.016.361/0001-09,CIA MARANHENSE DE PROD AGROPEC,519545
12.112.330/0001-58,CIA MARANHENSE DE ROUPAS COMAR,515841
06.272.199/0001-93,CIA MARANHENSE REFRIGERANTES,3638
06.996.185/0001-12,CIA MATOS NOVOS VALE ITAPECURU,512184
22.664.890/0001-79,CIA MATS SULFUROSOS MATSULFUR,3646
28.415.164/0001-07,CIA METALURGICA DO ES,510548
12.536.553/0001-42,CIA METALURGICA DO MA,509639
91.154.690/0001-99,CIA MINUANO DE ALIMENTOS,12246
24.069.916/0001-66,CIA N SRA DAS MASCARENHAS,510947
71.039.119/0001-16,CIA NAC FRIGORIFICOS CONFRIO,3735
33.098.112/0001-86,CIA NACIONAL DE ALCALIS,15555
71.444.582/0001-43,CIA NACIONAL ESTAMPARIA CIANE,3727
33.630.120/0001-21,CIA NAVEGACAO LLOYD BRASILEIRO,3760
61.150.348/0001-50,CIA NITROQUIMICA BRASILEIRA,3778
10.913.796/0001-27,CIA NORDESTINA DE ALIMENTOS - CANORTE,508616
11.008.083/0001-81,CIA NORDESTINA DE PRODS AVIC,507580
08.334.187/0001-71,CIA NORDESTINA DE SUINOCULTURA,508110
06.133.003/0001-80,CIA PAJEU DO MARANHAO-PAJEU,506052
10.804.300/0001-87,CIA PARAIBA CIM PORTL CIMEPAR,3786
12.680.542/0001-31,CIA PARAIBANA DE RAFIA,510440
01.596.401/0001-19,CIA PAULISTA DE ADM DE ATIVOS,16683
57.484.495/0001-99,CIA PAULISTA DE LAMINACAO,3832
61.015.582/0001-74,CIA PAULISTA ENERGIA ELETRICA,3794
61.087.912/0001-37,CIA PAULISTA FERTILIZANTES,3816
09.928.771/0001-18,CIA PERNAMB DE BORR SINTETICA,501956
09.768.292/0001-81,CIA PERNAMBUCANA DE HOTEIS E TURISMO,518875
00.091.652/0001-89,CIA PESQS RECURSOS MINERAIS,3107
07.621.931/0001-56,CIA PESQUEIRA SAO RAIMUNDO,506931
02.854.397/0001-04,CIA PETROLIFERA MARLIM,18899
06.731.046/0001-67,CIA PIAUIENSE AGROINDL,503509
04.172.213/0001-51,CIA PIRATININGA DE FORÇA E LUZ,19275
15.213.374/0001-62,CIA PNEUS TROPICAL,3867
39.826.482/0001-79,CIA PORTUARIA VILA VELHA,517518
10.648.749/0001-01,CIA PRODS AGROPECUARIOS-COPA,519057
07.648.637/0001-38,CIA PRODUTORA DE ALGODÃO E SUINOS - COPAS,508411
11.675.808/0001-95,CIA PRODUTORA DE SUINOS,500780
58.143.967/0001-02,CIA PRODUTORES ARMS GERAIS,2631
10.777.480/0001-55,CIA PRODUTOS CONFIANÇA,517704
33.000.035/0001-80,CIA PROGRESSO INDUSTRIAL BRASIL FABRICA BANGU,3875
04.200.649/0001-07,CIA PROVINCIA DE SECURITIZAÇÃO,19429
15.111.198/0001-58,CIA QUIM DO RECONCAVO,506427
13.837.489/0001-00,CIA QUIMICA METACRIL,3883
13.018.957/0001-07,CIA RIO DAS PEDRAS,505242
92.691.120/0001-09,CIA RIOGRANDENSE DE ADUBOS,3905
92.802.784/0001-90,CIA RIOGRANDENSE DE SANEAMENTO,16748
92.794.486/0001-03,CIA RIOGRANDENSE TELECOMUNICAÇÕES,3913
33.035.759/0001-69,CIA SALINAS PERYNAS,3930
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,14443
61.360.434/0001-97,CIA SANTISTA DE PAPEL,3948
12.556.957/0001-06,CIA SAO FRANCISCO DO SALGADOR,504998
15.144.017/0001-90,CIA SEGUROS ALIANCA BAHIA,3115
60.405.925/0001-44,CIA SEGUROS AMER SUL YASUDA,3123
15.104.490/0001-43,CIA SEGUROS BAHIA,3131
17.197.385/0001-21,CIA SEGUROS MINAS BRASIL,3140
33.432.139/0001-63,CIA SEGUROS RIO BRANCO,12475
33.158.031/0001-24,CIA SERVICOS ENGA SERVIENGE,3956
12.287.314/0001-04,CIA SID ALAGOAS COMESA,3999
10.806.057/0001-36,CIA SID NORDESTE,4014
20.141.321/0001-13,CIA SID PAINS,4049
04.561.023/0001-26,CIA SIDERURGICA AMAZONIA,3972
07.919.053/0001-50,CIA SIDERURGICA DO PARA - COSIPAR,510238
61.045.381/0001-10,CIA SIDERURGICA MOGI CRUZES,4006
33.042.730/0001-04,CIA SIDERURGICA NACIONAL,4030
22.016.026/0001-60,CIA SIDERURGICA VALE PINDARE,515906
12.926.101/0001-77,CIA STO ANTONIO DO GUAJU,508403
09.256.116/0001-60,CIA SULAMERICANA DE BRINQUEDOS,503576
33.000.076/0001-76,CIA T JANER COM IND,4073
22.677.520/0001-76,CIA TECIDOS NORTE DE MINAS - COTEMINAS,3158
21.255.567/0001-89,CIA TECIDOS SANTANENSE,4081
60.830.833/0001-01,CIA TECNICA DE ENGENHARIA ELETRIC A,18422
57.486.177/0001-67,CIA TELEF BORDA DO CAMPO,4103
92.195.189/0001-33,CIA TELEF MELHOR RESIST,4090
33.460.809/0001-55,CIA TELEFONES DO RJ CETEL,3166
01.447.243/0001-35,CIA TERRAS BONSUCESSO,15830
05.389.812/0001-94,CIA TEXTIL CASTANHAL,4120
09.570.649/0001-12,CIA TEXTIL PE DA SERRA,511013
21.842.729/0001-85,CIA TEXTIL PIRAPORA,502197
01.540.533/0001-29,CIA THERMAS RIO QUENTE,4154
13.432.810/0001-69,CIA TRANSAMERICA DE H NORDESTE,504696
04.382.818/0001-77,CIA TROPICAL DE HOT DA AM,510254
15.147.499/0001-31,CIA TROPICAL DE HOTEIS SA,510505
08.664.088/0001-58,CIA TROPICAL HOTEL TAMBAU,511579
92.682.038/0001-00,CIA UNIAO SEGUROS GERAIS,4162
08.520.512/0001-90,CIA VALE DA CAICARA,501450
05.498.027/0001-70,CIA VALE DO BURITI,501565
06.132.807/0001-64,CIA VALE DO ITAPECURU-CONVALE,517747
14.082.754/0001-42,CIA VALE DO MOJUZINHO,507253
24.146.482/0001-50,CIA VALE DO PRATUDINHO,510041
06.767.693/0001-29,CIA VALE DO RIO DOURADO,503398
10.468.296/0001-23,CIA VALE DO RIO GRANDE,505609
10.468.296/0001-23,CIA VALE DO RIO GRANDE,520160
13.354.980/0001-72,CIA VERAS DE HOTEIS E TURISMO,519677
08.805.517/0001-60,CIA VEREDAS DO RIO PRETO,504378
92.690.643/0001-22,CIA VINICOLA RIO GRANDENSE,4197
84.684.950/0001-72,CIA WETZEL INDL,4200
33.069.766/0001-81,CIA. BRAS PETRÓLEO IPIRANGA,2860
10.919.934/0001-85,CIA. DE CIMENTOS DO BRASIL,2984
76.484.013/0001-45,CIA. DE SANEAMENTO DO PARANÁ - SANEPAR,18627
33.938.119/0001-69,CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO,16616
76.255.926/0001-90,CIA. IGUAÇU DE CAFÉ SOLÚVEL,3336
30.545.324/0001-76,CIA. SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-RECARGAPAY,25216
03.143.955/0001-96,CIAGRA CIA AGROPAST ARUANÃ,511170
04.651.154/0001-02,CIAGRO CIA INDL DE RORAIMA,512125
09.114.851/0001-30,CIANE CIA DE PROD QUIM DO NE,515949
04.933.446/0001-20,CIAPESC-CIA AMAZONICA DE PESCA,501107
12.298.949/0001-07,CIASA-CAJU INDL ALAGOAS S.A.,518719
39.320.304/0001-71,CIBASA CITRUS BARRA SECA S. A.,515400
02.105.040/0001-23,CIBRASEC CIA BRASILEIRA DE SECURITIZAÇÃO,18287
07.790.264/0001-35,CIC SA,503568
50.930.098/0001-54,CICA SA,3417
91.623.892/0001-32,CICADE CURTUME SA,13234
10.790.616/0001-67,CICANORTE IND DE CONS ALIM SA,7021
04.203.402/0001-44,CICRIA CIA CRIADORA AM,506494
10.343.705/0001-65,CID - CIA INDUSTRIAL DE DOCES,508942
01.102.817/0001-33,CIDADELA TRUST RECEBIVEIS SA,15571
01.027.058/0001-91,CIELO S.A.,21733
12.134.896/0001-80,CIFITEX-CIA INDL FIOS TEXTEIS,506818
07.368.277/0001-10,CIGLA - CIA. INDUSTRIAL GALLETTI DE LAMINADOS,502219
06.882.260/0001-14,CIGRA CIA VALE GRAJAU PAST IND,504890
15.115.520/0001-17,CIMBA SA INDUSTRIA E COMERCIO,4235
27.190.966/0001-95,CIMEF METALURGIA SA,516465
15.847.775/0001-74,CIMENTO ARATU SA,4243
17.283.599/0001-10,CIMENTO CAUE SA,4251
03.372.786/0001-66,CIMENTO ITAU DE CORUMBA SA,4260
33.815.580/0001-24,CIMENTO MAUA SA,13609
03.478.054/0001-55,CIMENTO PORTLAND M GROSSO SA,4278
08.567.539/0001-39,CIMENTO POTY DA PB SA,501735
49.870.397/0001-61,CIMENTO SANTA RITA SA,4286
00.065.557/0001-00,CIMENTO TOCANTINS SA,4294
33.039.223/0001-11,CIMENTO TUPI SA,4308
33.039.223/0001-11,CIMENTO TUPI SA,22829
17.379.827/0001-50,CIMETAL SIDERURGIA SA - EM LIQUIDAÇÃO,4324
60.869.336/0001-17,CIMINAS CIMENTO NAC MINAS SA,11908
34.177.279/0001-03,CIMOB PARTICIPAÇÕES SA,6513
00.272.185/0001-93,CIMS SA,14818
11.027.133/0001-78,CINAP COM IND NOR ART PAPEL SA,509345
14.126.270/0001-58,CINDERELA AGROPEC SA,508675
07.437.016/0001-05,CINESYSTEM S.A.,23965
07.126.899/0001-32,CIPA CIA INDL PRODS ALIM,4332
04.704.557/0001-64,CIPAC - CIA PARA DE ART DE CON,515329
82.166.711/0001-03,CIPLA SA,13900
08.665.978/0001-84,CIPO AGROPECUARIA SA CAPESA,512443
22.975.205/0001-25,CIPRASA - CIPRANDI MADEIRA SA,516295
15.106.693/0001-79,CIQUINE CIA INDS QUIMS DO NE,4340
84.043.009/0001-70,CIRCULO S/A,7056
08.219.396/0001-74,CIRNE CIA INDL DO RN,509760
03.788.718/0001-82,CISA CIA DE SERVICOS AGRICOLAS,512249
12.983.995/0001-37,CISA CONFECCS INDS SA,505870
06.063.390/0001-25,CIT - CIA INDL TECNICA,511242
04.871.372/0001-44,CITAG CIA TOCANTINS AGROINDL,508225
31.918.584/0001-02,CITI CP MERCANTIL SA,16721
34.112.128/0001-69,CITIBANK LEASING S.A. - ARREND.MERCANTIL,4383
34.112.128/0001-69,CITIBANK LEASING S.A. - ARREND.MERCANTIL,21270
60.867.843/0001-11,CITROBRASIL SA,4391
24.956.666/0001-86,CLARION S/A AGROINDUSTRIAL,18490
24.956.666/0001-86,CLARION S/A AGROINDUSTRIAL,513806
07.043.628/0001-13,CLARO TELECOM PARTICIPAÇÕES S.A.,23531
60.882.610/0001-98,CLIMAX INDUSTRIA E COMERCIO SA,4413
03.016.682/0001-19,CLINICA MÉDICA VITA S.A,18449
00.484.920/0001-22,CLUBEPAR SA,14982
31.959.356/0001-80,CMA PARTICIPAÇÕES SA,13323
29.116.951/0001-02,CMP CIA DE MINERACAO E PART,12890
06.571.822/0001-09,CNV CIA NACIONAL DO VESTUARIO,12882
04.030.087/0001-09,COARI PARTICIPAÇÕES SA,19089
09.276.445/0001-73,COASA - CORINGA AGROPEC SA,513105
09.276.445/0001-73,COASA - CORINGA AGROPEC SA,520233
61.576.385/0001-24,COBRASFER SA,4430
61.080.313/0001-91,COBRASMA SA,4448
32.372.085/0001-25,COBUCCIO SECURITIZADORA DE CRÉDITOS S.A.,24724
00.826.535/0001-16,CODUNAS SA,15237
17.174.418/0001-18,COEMP COMERCIO E EMPREEND SA,4464
61.104.717/0001-78,COEST CONSTRUTORA SA,4472
57.500.001/0001-12,COFAP CIA FABRICADORA PECAS,4480
02.800.026/0001-40,COGNA EDUCAÇÃO S.A.,17973
30.958.516/0001-04,COIMEX AGRI SA,509310
31.769.763/0001-25,COIMEX ARMAZENS GERAIS SA,516201
61.460.762/0001-65,COINVEST CIA. DE INV. INTERLAGOS,7552
08.331.753/0001-91,COIRG CIA INDUSTRIAL RIOGRANDENSE NORTE,4499
24.345.399/0001-00,COLAT - COCANE LATICINIOS S/A,516031
61.189.601/0001-89,COLDEX FRIGOR SA,12459
11.173.812/0001-55,COLLIER AGROPEC SA,505501
61.565.552/0001-31,COLMEIA SA IND.PAULISTA RAD.,4502
40.802.829/0001-22,COLORADO COUROS SA,517038
40.802.829/0001-22,COLORADO COUROS SA,520829
47.309.463/0001-01,COLUMBIA PARTICIPACOES SA,13510
05.549.936/0001-90,COM E IND DE MATERIAL CERAMICO,514101
06.610.786/0001-45,COMAG CIA DE ALIMENTOS GERAIS,519383
22.965.966/0001-04,COMASA COMPON DE MADEIRA SA,514071
06.013.544/0001-74,COMASA FLORESTAL E INDL SA,508462
34.667.527/0001-96,COMAVEL MOTOMECANIZACAO SA,513938
12.127.429/0001-23,COMBRAC CIA BRAS DE CONSTRUCAO,514039
17.177.973/0001-01,COMERCIAL IMPORTADORA SA,4375
00.994.533/0001-36,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,15652
33.078.262/0001-28,COMERCIO E INDUSTRIA INDUCO SA,4545
08.266.363/0001-85,COMETA AGROINDUSTRIAL S/A,504068
60.394.939/0001-00,COMIND BANCO INVESTIMENTO SA,4570
47.184.932/0001-03,COMIND LEASING SA ARR MERC,12173
61.364.022/0001-25,COMIND PARTICIPACOES SA,1058
61.364.345/0001-19,COMIND SA,4553
61.181.251/0001-04,COMIND SA SERV TEC PROC DADOS,4561
62.297.502/0001-83,COMMANDER SA,4634
04.896.759/0001-55,COMPANHIA AMAZÔNIA TÊXTIL DE ANIAGEM,2720
62.791.116/0001-43,COMPANHIA ELDORADO DE HOTEIS,2763
60.730.348/0001-66,COMPANHIA MELHORAMENTOS DE SÃO PAULO,3654
27.251.974/0001-02,COMPANHIA SIDERÚRGICA DE TUBARÃO,14117
12.935.755/0001-67,COMPANHIA AGRICOLA BARRA DO BÉ,514357
08.264.228/0001-09,COMPANHIA AGRÍCOLA DO PIAUÍ,509477
05.410.469/0001-12,COMPANHIA AGRÍCOLA E PECUÁRIA UIRAPURU,504556
05.410.469/0001-12,COMPANHIA AGRÍCOLA E PECUÁRIA UIRAPURU,520454
05.000.609/0001-84,COMPANHIA AGRO INDUSTRIAL TAPAJÓS,509302
15.640.923/0001-85,COMPANHIA AGRO PECUARIA BARRO VERMELHO - EM LIQUIDAÇÃO,500330
04.567.012/0001-53,COMPANHIA AGROPASTORIL DO RIO TIRAXIMIM,519308
08.982.878/0001-81,COMPANHIA AGROPECUARIA DO ARAME,502480
84.323.187/0001-54,COMPANHIA AGROPECUÁRIA TUPÁ ECOLÓGICA,520934
06.633.671/0001-76,COMPANHIA ALVORADA EMPREENDIMENTOS AGRÍCOLAS,503207
12.078.880/0001-06,COMPANHIA AURIFERA BRASILEIRA SA,22870
60.522.000/0001-83,COMPANHIA BRASILEIRA DE BEBIDAS ( Atual demominação social da Cia Antarctica Paulista IBBC),2755
57.494.031/0001-63,COMPANHIA BRASILEIRA DE CARTUCHOS - CBC,13315
47.508.411/0001-56,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,14826
22.983.283/0001-71,COMPANHIA CARIOCA DE SECURITIZAÇÃO,23949
08.560.444/0001-93,COMPANHIA CELG DE PARTICIPAÇÕES,21393
24.030.025/0001-04,COMPANHIA CIMENTO PORTLAND ITAU,2933
07.040.108/0001-57,COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ,18546
39.350.970/0001-52,COMPANHIA DE ARMAZENS CERRADO DO BRASIL,516040
02.808.708/0001-07,COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV,18112
61.784.278/0001-91,COMPANHIA DE CRÉDITO FINANCIAMENTO E INVESTIMENTO RCI BRASIL,22993
47.189.014/0001-69,COMPANHIA DE EMBALAGENS METÁLICAS - MMSA,14125
17.245.234/0001-00,COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA,3077
25.582.727/0001-55,COMPANHIA DE FIAÇÃO E TECIDOS SANTO ANTONIO,514217
22.261.473/0001-85,COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG,25178
61.856.571/0001-17,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,15636
01.028.049/0001-15,COMPANHIA DE INVESTIMENTOS PARTICIPAR,15415
10.215.988/0001-60,COMPANHIA DE LOCAÇÃO DAS AMERICAS,22691
01.996.119/0001-29,COMPANHIA DE PARTICIPAÇÕES ALPHA,16454
17.281.106/0001-03,COMPANHIA DE SANEAMENTO DE MINAS GERAIS,19445
25.089.509/0001-83,COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS,23809
00.070.698/0001-11,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,14451
28.925.264/0001-75,COMPANHIA ENERGÉTICA JAGUARA,24422
28.942.127/0001-49,COMPANHIA ENERGÉTICA MIRANDA,24430
19.527.586/0001-75,COMPANHIA ENERGÉTICA SINOP S.A.,24155
12.646.054/0001-08,COMPANHIA FERRÍFERA BRASILEIRA S.A.,23124
31.456.338/0001-86,COMPANHIA FLUMINENSE DE REFRIGERANTES,3263
19.526.748/0001-50,COMPANHIA INDUSTRIAL CATAGUASES,3395
21.254.073/0001-80,COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES,3450
08.493.364/0001-62,COMPANHIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES,21709
42.416.651/0001-07,COMPANHIA PARAIBUNA DE METAIS,12130
76.483.817/0001-20,COMPANHIA PARANAENSE DE ENERGIA,14311
23.043.212/0001-51,COMPANHIA PARANAENSE DE SECURITIZAÇÃO - PRSEC,23914
33.050.196/0001-88,COMPANHIA PAULISTA DE FORCA LUZ - CPFL,3824
11.274.829/0001-07,COMPANHIA PAULISTA DE SECURITIZAÇÃO,22080
57.487.142/0001-42,COMPANHIA PAULISTA FERRO LIGAS,3808
16.234.627/0001-47,COMPANHIA PETROQUIMICA DO NORDESTE,500160
76.500.180/0001-32,COMPANHIA PROVIDENCIA IND E COMERCIO,20974
83.663.484/0001-86,COMPANHIA REFINADORA DA AMAZÔNIA,519081
27.137.879/0001-74,COMPANHIA SEC. DE CRÉDITOS FIN. CARTÕES CONSIGNADOS BMG,24147
30.219.233/0001-40,COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-FINTECH,24511
30.418.658/0001-89,COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-NEXOOS,24520
